customerID,churn_probability,risk_segment,value_segment,customer_value,expected_saved,cost,profit,roi_per_customer,Churn,Contract,InternetService,MonthlyCharges
7590-VHVEG,0.894686375191109,High Risk,Medium,2441.175480427046,1092.043220894344,250,842.0432208943439,3.3681728835773757,0,Month-to-month,Fiber optic,74.85
5575-GNVDE,0.7693522303931877,High Risk,High,3127.70512455516,1203.1534567943577,400,803.1534567943577,2.0078836419858943,1,Month-to-month,Fiber optic,95.9
3668-QPYBK,0.6189823095807666,Medium Risk,Low,1498.6240925266902,463.8109009927756,100,363.8109009927756,3.638109009927756,1,Month-to-month,DSL,45.95
7795-CFOCW,0.1306977328391037,Low Risk,High,2799.932064056939,182.972386437877,250,-67.02761356212301,-0.26811045424849206,0,One year,DSL,85.85
9237-HQITU,0.044633140316740656,Low Risk,Medium,2416.714804270462,53.932785482273985,250,-196.06721451772603,-0.7842688580709041,0,One year,DSL,74.1
9305-CDSKC,0.5392507763926903,Medium Risk,High,3383.726868327402,912.3386704231789,400,512.3386704231789,1.280846676057947,0,One year,Fiber optic,103.75
1452-KIOVK,0.35273199807369193,Low Risk,Low,666.9611032028469,117.62926128508701,100,17.62926128508701,0.1762926128508701,0,Month-to-month,No,20.45
6713-OKOMC,0.9700887015268889,High Risk,High,3042.908113879003,1475.9453905292582,400,1075.9453905292582,2.6898634763231457,1,Month-to-month,Fiber optic,93.3
7892-POOKP,0.0333815810571314,Low Risk,Low,676.7453736654803,11.295415273026453,100,-88.70458472697355,-0.8870458472697355,0,Two year,No,20.75
6388-TABGU,0.03843064967851695,Low Risk,Medium,2408.561245551601,46.28128672852301,250,-203.718713271477,-0.8148748530859079,0,Two year,DSL,73.85
9763-GRSKD,0.5617615676863982,Medium Risk,Medium,2100.356725978648,589.9498435432179,100,489.94984354321787,4.899498435432179,0,Month-to-month,DSL,64.4
7469-LKBCI,0.719386426851335,High Risk,Medium,2377.5777224199287,855.1985711465039,250,605.1985711465039,2.4207942845860155,0,Month-to-month,Fiber optic,72.9
8091-TTVAX,0.5607152853839555,Medium Risk,Low,1619.296761565836,453.9822228913514,100,353.9822228913514,3.539822228913514,1,Month-to-month,DSL,49.65
0280-XJGEX,0.23790648006759382,Low Risk,Low,647.39256227758,77.00944285669979,100,-22.990557143300208,-0.22990557143300208,0,One year,No,19.85
5129-JLPIS,0.518829847134011,Medium Risk,Medium,2576.524555160142,668.3889205453811,250,418.3889205453811,1.6735556821815243,0,Month-to-month,Fiber optic,79.0
3655-SNQYZ,0.5947394376607079,Medium Risk,High,2886.359786476868,858.3159981478667,250,608.3159981478667,2.433263992591467,0,Month-to-month,Fiber optic,88.5
8191-XWSZG,0.012030642245815237,Low Risk,Low,622.9318861209964,3.747135332716313,100,-96.25286466728369,-0.9625286466728369,0,Two year,No,19.1
9959-WOFKT,0.48539196576807,Medium Risk,High,3263.054199288256,791.9301461001411,400,391.9301461001411,0.9798253652503527,0,One year,Fiber optic,100.05
4190-MFLUW,0.04549876883762272,Low Risk,High,3007.032455516014,68.40813729037608,400,-331.5918627096239,-0.8289796567740598,0,Two year,DSL,92.2
4183-MYFRB,0.420376494169976,Medium Risk,Low,635.9775800711743,133.67501274051273,100,33.67501274051273,0.3367501274051273,0,Month-to-month,No,19.5
8779-QRDMV,0.07085747677530434,Low Risk,Low,645.7618505338078,22.878527663288416,100,-77.12147233671158,-0.7712147233671157,0,One year,No,19.8
1680-VDCWW,0.4614552512823938,Medium Risk,High,3455.4781850533805,797.2742770923188,400,397.2742770923188,0.993185692730797,0,One year,Fiber optic,105.95
1066-JKSGK,0.80820831012996,High Risk,Medium,2630.3380427046263,1062.9305322824262,250,812.9305322824262,3.2517221291297047,1,Month-to-month,Fiber optic,80.65
3638-WEABW,0.7356968357408942,High Risk,Medium,2428.129786476868,893.1837003396224,250,643.1837003396224,2.57273480135849,0,Month-to-month,Fiber optic,74.45
6322-HRPFA,0.16435489662852568,Low Risk,High,2799.932064056939,230.09127247748637,250,-19.90872752251363,-0.07963491009005452,0,One year,Fiber optic,85.85
6865-JZNKO,0.7487838599066724,High Risk,Low,1467.6405693950176,549.4727852536139,100,449.4727852536139,4.494727852536139,0,Month-to-month,DSL,45.0
6467-CHFZW,0.5364845324312776,Medium Risk,Medium,1978.0533451957292,530.5975120107277,100,430.59751201072766,4.305975120107276,0,Month-to-month,DSL,60.65
8665-UTDHZ,0.6606649735602316,Medium Risk,High,3408.187544483985,1125.8350669824113,400,725.8350669824113,1.8145876674560282,1,Month-to-month,Fiber optic,104.5
5248-YGIJN,0.7757760041503402,High Risk,High,2785.2556583629894,1080.3672525909824,250,830.3672525909824,3.3214690103639297,1,Month-to-month,Fiber optic,85.4
8773-HHUOZ,0.33182099316239494,Low Risk,Low,627.8240213523131,104.1625951481666,100,4.162595148166602,0.04162595148166602,1,Month-to-month,No,19.25
3841-NFECX,0.07931025911360355,Low Risk,Low,662.0689679715302,26.254430700449078,100,-73.74556929955092,-0.7374556929955092,0,One year,No,20.3
4929-XIHVW,0.01935694169927062,Low Risk,Low,823.5094306049821,7.970312018510091,100,-92.02968798148991,-0.9202968798148992,0,Two year,No,25.25
6827-IEAUQ,0.13792011829902243,Low Risk,High,2755.902846975089,190.04722333770846,250,-59.95277666229154,-0.23981110664916616,0,Two year,Fiber optic,84.5
7310-EGVHZ,0.7023942008557335,High Risk,Medium,2446.0676156583627,859.0518540697225,250,609.0518540697225,2.43620741627889,1,Month-to-month,Fiber optic,75.0
